PREFETCH_COUNT,ARRIVAL_RATE,DESIRED_ARRIVAL_RATE,ARRIVAL_RATE,
1,1134.0,20000,1134,0
10,12805.20,20000,12805,20
10,9526.60,20000,9526,60
10,14154.20,20000,14154,20
10,15061.80,20000,15061,80
10,16137.40,20000,16137,40
10,14448.20,20000,14448,20
10,10945.20,20000,10945,20
10,16813.40,20000,16813,40
10,13782.0,20000,13782,0
10,15382.60,20000,15382,60
10,16688.0,20000,16688,0
10,12337.60,20000,12337,60
10,15149.20,20000,15149,20
10,14729.20,20000,14729,20
10,17347.0,20000,17347,0
10,21716.0,10000,21716,0
1,1011.40,10000,1011,40
10,19312.40,10000,19312,40
1,1435.40,10000,1435,40
10,21746.80,10000,21746,80
1,953.20,10000,953,20
10,17300.0,10000,17300,0
1,1090.0,10000,1090,0
10,18536.20,10000,18536,20
1,1105.60,10000,1105,60
10,15513.0,8000,15513,0
1,1055.60,8000,1055,60
10,17239.60,8000,17239,60
1,4015.0,8000,4015,0
10,28647.60,8000,28647,60
1,6431.60,8000,6431,60
10,27554.60,8000,27554,60
1,7490.60,8000,7490,60
10,30373.0,8000,30373,0
1,6954.40,8000,6954,40
10,26939.20,8000,26939,20
1,5919.80,8000,5919,80
10,26302.0,8000,26302,0
1,5876.40,8000,5876,40
10,24003.60,8000,24003,60
1,6628.80,8000,6628,80
10,23504.0,8000,23504,0
1,7258.60,8000,7258,60
10,25540.20,8000,25540,20
1,6464.0,8000,6464,0
10,26498.80,8000,26498,80
1,7422.80,8000,7422,80
10,26160.60,8000,26160,60
1,6638.40,8000,6638,40
10,26348.20,8000,26348,20
1,7040.40,8000,7040,40
10,26714.0,8000,26714,0
1,6728.80,8000,6728,80
10,26050.60,8000,26050,60
1,4921.0,8000,4921,0
10,28254.40,8000,28254,40
1,6922.80,8000,6922,80
10,26437.60,8000,26437,60
1,7306.0,8000,7306,0
10,26351.0,8000,26351,0
1,6877.80,8000,6877,80
10,26516.60,8000,26516,60
1,5134.20,8000,5134,20
10,24575.20,8000,24575,20
1,4775.60,8000,4775,60
10,26075.40,8000,26075,40
1,8162.20,8000,8162,20
1,6902.40,8000,6902,40
10,25895.0,8000,25895,0
1,5891.20,15000,5891,20
10,26418.20,15000,26418,20
1,6173.20,15000,6173,20
10,26464.80,15000,26464,80
1,4386.80,15000,4386,80
10,28707.60,15000,28707,60
1,7410.60,15000,7410,60
10,26220.80,15000,26220,80
1,5394.40,15000,5394,40
10,25029.80,15000,25029,80
1,7490.0,15000,7490,0
10,23741.0,15000,23741,0
1,6785.40,15000,6785,40
10,22727.80,15000,22727,80
1,6517.0,15000,6517,0
10,23306.80,15000,23306,80
1,5377.80,15000,5377,80
10,22939.40,15000,22939,40
1,5446.0,15000,5446,0
10,23159.60,15000,23159,60
1,5035.80,15000,5035,80
10,23062.40,15000,23062,40
1,5200.20,15000,5200,20
10,23271.40,15000,23271,40
1,5024.40,15000,5024,40
10,23256.40,15000,23256,40
1,6249.40,15000,6249,40
10,23594.40,15000,23594,40
1,6260.0,15000,6260,0
10,24028.20,15000,24028,20
1,6641.40,15000,6641,40
10,23711.0,15000,23711,0
1,5509.40,15000,5509,40
10,23837.60,15000,23837,60
1,6783.80,15000,6783,80
10,24149.80,15000,24149,80
1,6167.60,15000,6167,60
10,23126.40,15000,23126,40
1,6660.0,15000,6660,0
10,23318.0,15000,23318,0
1,6650.40,15000,6650,40
10,22899.40,15000,22899,40
1,6578.80,15000,6578,80
10,22529.40,15000,22529,40
1,5876.80,15000,5876,80
10,23383.0,15000,23383,0
1,5981.60,15000,5981,60
10,23329.20,15000,23329,20
1,5740.20,15000,5740,20
10,22493.0,15000,22493,0
1,6089.80,15000,6089,80
10,22800.60,15000,22800,60
1,6211.0,15000,6211,0
10,20396.80,15000,20396,80
1,6082.40,15000,6082,40
10,23797.20,15000,23797,20
1,5666.40,15000,5666,40
10,23668.0,15000,23668,0
1,6301.0,15000,6301,0
10,22968.60,5000,22968,60
1,6181.0,5000,6181,0
1,6338.20,5000,6338,20
1,6540.60,5000,6540,60
1,6224.60,5000,6224,60
1,6309.20,5000,6309,20
1,5876.20,5000,5876,20
1,6232.40,5000,6232,40
1,5074.60,5000,5074,60
1,4725.0,5000,4725,0
10,21397.40,5000,21397,40
1,6055.0,5000,6055,0
1,6522.60,5000,6522,60
1,6376.20,5000,6376,20
1,6687.80,5000,6687,80
1,6449.80,5000,6449,80
1,5779.80,5000,5779,80
1,6067.40,5000,6067,40
1,6085.80,5000,6085,80
1,6308.0,5000,6308,0
1,6112.0,5000,6112,0
1,5149.80,5000,5149,80
1,5075.20,5000,5075,20
1,5864.20,5000,5864,20
1,5914.80,5000,5914,80
1,6618.80,5000,6618,80
1,6151.80,5000,6151,80
1,6144.20,5000,6144,20
1,5697.60,5000,5697,60
1,5949.60,5000,5949,60
1,6262.80,5000,6262,80
1,6396.40,5000,6396,40
1,6271.80,5000,6271,80
1,6097.60,5000,6097,60
1,5979.20,5000,5979,20
1,6171.0,5000,6171,0
1,6039.40,5000,6039,40
1,6174.80,5000,6174,80
1,6192.60,5000,6192,60
1,6082.40,5000,6082,40
1,5960.60,5000,5960,60
1,6557.60,5000,6557,60
1,6126.20,5000,6126,20
1,6023.20,5000,6023,20
1,5785.80,5000,5785,80
1,6436.60,5000,6436,60
1,5749.60,5000,5749,60
1,6246.20,5000,6246,20
1,5835.0,5000,5835,0
1,4827.80,5000,4827,80
10,20767.60,5000,20767,60
1,4722.20,5000,4722,20
10,24569.20,5000,24569,20
1,6458.40,5000,6458,40
1,6328.0,5000,6328,0
1,6274.80,5000,6274,80
1,6133.20,5000,6133,20
1,6509.20,5000,6509,20
1,6276.0,5000,6276,0
1,6322.40,5000,6322,40