PREFETCH_COUNT,ARRIVAL_RATE,DESIRED_ARRIVAL_RATE,,
1,1587.20,20000,1587,20
10,12404.60,20000,12404,60
10,13097.0,20000,13097,0
10,17916.60,20000,17916,60
10,16793.60,20000,16793,60
10,16240.80,20000,16240,80
10,18737.60,20000,18737,60
10,16628.20,20000,16628,20
10,15974.20,20000,15974,20
10,9831.60,20000,9831,60
10,19591.40,20000,19591,40
10,18096.60,20000,18096,60
10,18473.20,20000,18473,20
10,27634.20,20000,27634,20
1,7310.0,20000,7310,0
10,27147.0,20000,27147,0
1,7464.20,20000,7464,20
10,23985.60,10000,23985,60
1,7216.20,10000,7216,20
10,24528.20,10000,24528,20
1,6552.60,10000,6552,60
10,24974.20,10000,24974,20
1,6975.40,10000,6975,40
10,24392.60,10000,24392,60
1,7919.20,10000,7919,20
10,28364.80,10000,28364,80
1,7043.80,10000,7043,80
10,24070.0,10000,24070,0
1,7512.60,10000,7512,60
10,24394.20,10000,24394,20
1,7462.80,10000,7462,80
10,24496.0,10000,24496,0
1,7151.80,10000,7151,80
10,21509.0,10000,21509,0
1,7699.80,10000,7699,80
10,24229.40,10000,24229,40
1,7119.60,10000,7119,60
10,24103.40,10000,24103,40
1,6884.60,10000,6884,60
10,24565.0,10000,24565,0
1,7427.40,10000,7427,40
10,24138.20,10000,24138,20
1,6039.40,10000,6039,40
10,29451.80,10000,29451,80
1,7221.40,10000,7221,40
10,22757.20,10000,22757,20
1,7462.0,10000,7462,0
10,24650.80,10000,24650,80
1,7162.40,10000,7162,40
10,23425.40,10000,23425,40
1,6378.60,10000,6378,60
10,24790.60,10000,24790,60
1,6511.80,10000,6511,80
10,25074.60,10000,25074,60
1,7372.20,10000,7372,20
10,24533.60,10000,24533,60
1,6549.0,10000,6549,0
10,18823.60,10000,18823,60
1,6637.0,10000,6637,0
10,19995.80,10000,19995,80
1,4439.60,10000,4439,60
10,24637.80,10000,24637,80
1,7330.20,10000,7330,20
10,19716.20,10000,19716,20
1,4505.60,10000,4505,60
10,17901.20,10000,17901,20
1,7346.40,10000,7346,40
10,20001.40,10000,20001,40
1,7158.80,10000,7158,80
10,20891.40,10000,20891,40
1,4119.40,10000,4119,40
10,23861.0,10000,23861,0
1,7319.0,10000,7319,0
10,19680.0,10000,19680,0
1,4504.80,10000,4504,80
10,11782.0,8000,11782,0
1,7753.40,8000,7753,40
10,18212.40,8000,18212,40
1,6741.60,8000,6741,60
10,19442.80,8000,19442,80
1,4586.40,8000,4586,40
10,12999.20,8000,12999,20
1,6335.80,8000,6335,80
10,26465.80,8000,26465,80
1,7672.0,8000,7672,0
10,26924.60,8000,26924,60
1,6520.80,8000,6520,80
10,24458.40,8000,24458,40
1,6661.0,8000,6661,0
10,14458.0,8000,14458,0
1,3803.40,8000,3803,40
10,22635.60,8000,22635,60
1,5774.20,8000,5774,20
10,30048.80,8000,30048,80
1,7308.0,8000,7308,0
10,25648.60,8000,25648,60
1,7506.60,8000,7506,60
10,22598.0,8000,22598,0
1,6155.0,8000,6155,0
10,26053.40,8000,26053,40
1,6934.0,8000,6934,0
10,24082.20,8000,24082,20
1,7418.0,8000,7418,0
10,24362.80,8000,24362,80
1,7539.80,8000,7539,80
10,24159.0,8000,24159,0
1,6506.60,8000,6506,60
10,24501.60,8000,24501,60
1,5426.20,8000,5426,20
10,25536.20,8000,25536,20
1,6104.60,8000,6104,60
10,26774.20,8000,26774,20
1,7214.80,8000,7214,80
10,26188.80,8000,26188,80
1,6426.60,8000,6426,60
10,26534.40,8000,26534,40
1,6799.20,8000,6799,20
10,26374.0,8000,26374,0
1,6592.40,8000,6592,40
10,26583.80,8000,26583,80
1,6673.40,8000,6673,40
10,26696.20,8000,26696,20
1,5467.0,8000,5467,0
10,27157.20,8000,27157,20
1,6195.20,8000,6195,20
10,29079.80,8000,29079,80
1,7391.60,15000,7391,60
10,26958.80,15000,26958,80
1,6638.0,15000,6638,0
10,26838.80,15000,26838,80
1,6305.40,15000,6305,40
10,25014.0,15000,25014,0
1,6156.60,15000,6156,60
10,28191.0,15000,28191,0
1,7166.40,15000,7166,40
10,28693.20,15000,28693,20
1,7124.40,15000,7124,40
10,26788.0,15000,26788,0
1,7523.40,15000,7523,40
10,26421.80,15000,26421,80
1,5622.60,15000,5622,60
10,27024.20,15000,27024,20
1,6758.60,15000,6758,60
10,27026.60,15000,27026,60
1,6537.0,15000,6537,0
10,25174.60,15000,25174,60
1,7270.40,15000,7270,40
10,26796.40,15000,26796,40
1,6940.0,15000,6940,0
10,26674.80,15000,26674,80
1,7399.80,15000,7399,80
10,22858.60,15000,22858,60
1,7205.0,15000,7205,0
10,26384.60,15000,26384,60
1,7099.60,15000,7099,60
10,26897.20,15000,26897,20
1,7475.60,15000,7475,60
10,26711.60,15000,26711,60
1,6512.80,15000,6512,80
10,27036.20,15000,27036,20
1,6494.80,15000,6494,80
10,26910.60,15000,26910,60
1,6990.60,15000,6990,60
10,26742.60,15000,26742,60
1,7426.20,15000,7426,20
10,26959.20,15000,26959,20
1,6640.60,15000,6640,60
10,26629.60,15000,26629,60
1,6804.80,15000,6804,80
10,27086.40,15000,27086,40
1,6963.80,15000,6963,80
10,27093.60,15000,27093,60
1,7290.0,15000,7290,0
10,26643.40,15000,26643,40
1,6153.80,15000,6153,80
10,17521.80,15000,17521,80
1,6057.40,15000,6057,40
10,26435.60,15000,26435,60
1,7053.20,15000,7053,20
10,27215.20,15000,27215,20
1,5732.80,15000,5732,80
10,28261.40,5000,28261,40
1,7830.40,5000,7830,40
1,8034.40,5000,8034,40
1,7555.60,5000,7555,60
1,7294.80,5000,7294,80
1,6838.80,5000,6838,80
1,7305.40,5000,7305,40
1,7566.60,5000,7566,60
1,6528.40,5000,6528,40
1,6778.0,5000,6778,0
1,7057.0,5000,7057,0
1,7172.40,5000,7172,40
1,7736.20,5000,7736,20
1,7315.0,5000,7315,0
1,7060.40,5000,7060,40
1,7426.60,5000,7426,60
1,6728.60,5000,6728,60
1,7590.0,5000,7590,0
1,6788.60,5000,6788,60
1,6959.40,5000,6959,40
1,7047.40,5000,7047,40
1,7219.80,5000,7219,80
1,6546.80,5000,6546,80
1,6791.0,5000,6791,0
1,7144.60,5000,7144,60
1,6563.80,5000,6563,80
1,7262.40,5000,7262,40
1,5956.40,5000,5956,40
1,3197.40,5000,3197,40
10,15275.0,5000,15275,0
1,1565.60,5000,1565,60
10,6809.40,5000,6809,40
1,4929.40,5000,4929,40
10,30884.0,5000,30884,0
1,4099.0,5000,4099,0
10,30833.0,5000,30833,0
1,8035.80,5000,8035,80
1,7842.0,5000,7842,0
1,7560.20,5000,7560,20